sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
Male;30;Asian-Pac-Islander;Married-civ-spouse;Bachelors;India;State-gov;Prof-specialty;>50K
Male;30;White;Married-civ-spouse;Some-college;United-States;Federal-gov;Adm-clerical;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Machine-op-inspct;<=50K
Male;30;White;Married-civ-spouse;Bachelors;United-States;Private;Sales;<=50K
Male;30;White;Never-married;9th;United-States;Private;Sales;<=50K
Male;30;White;Never-married;11th;United-States;Private;Handlers-cleaners;<=50K
Male;30;Black;Never-married;Bachelors;Germany;Private;Exec-managerial;<=50K
Male;30;Black;Never-married;Some-college;United-States;Private;Craft-repair;<=50K
Female;30;White;Divorced;HS-grad;United-States;Private;Prof-specialty;<=50K
Male;30;White;Never-married;HS-grad;United-States;Private;Craft-repair;<=50K
Female;30;White;Never-married;11th;United-States;Private;Other-service;<=50K
Female;30;White;Married-civ-spouse;Assoc-acdm;United-States;Private;Other-service;>50K
Female;30;White;Married-civ-spouse;HS-grad;United-States;Private;Exec-managerial;<=50K
Female;30;White;Married-civ-spouse;Bachelors;United-States;Private;Tech-support;>50K
Male;30;White;Never-married;HS-grad;United-States;Private;Transport-moving;<=50K
Female;30;White;Never-married;Some-college;United-States;Private;Handlers-cleaners;<=50K
Male;30;White;Married-civ-spouse;11th;Mexico;Private;Other-service;<=50K
Male;30;Black;Married-civ-spouse;HS-grad;United-States;Private;Transport-moving;<=50K
Male;30;Black;Never-married;HS-grad;United-States;Private;Farming-fishing;<=50K
Female;30;Black;Married-civ-spouse;Bachelors;United-States;Private;Adm-clerical;>50K
Male;30;White;Married-civ-spouse;Bachelors;United-States;State-gov;Tech-support;>50K
Female;30;White;Never-married;Bachelors;Poland;Private;Prof-specialty;<=50K
Female;30;White;Separated;HS-grad;United-States;Private;Other-service;<=50K
Female;30;White;Widowed;HS-grad;United-States;Private;Adm-clerical;<=50K
Male;30;White;Married-civ-spouse;Bachelors;United-States;Private;Exec-managerial;>50K
Male;30;White;Married-civ-spouse;Bachelors;United-States;Private;Adm-clerical;>50K
Male;30;White;Married-civ-spouse;12th;United-States;Self-emp-not-inc;Transport-moving;<=50K
Male;30;White;Married-civ-spouse;Bachelors;United-States;Private;Exec-managerial;<=50K
Male;30;White;Married-civ-spouse;Assoc-voc;United-States;Private;Transport-moving;<=50K
Female;30;Black;Never-married;Some-college;United-States;Private;Machine-op-inspct;<=50K
Female;30;White;Never-married;Some-college;United-States;Self-emp-inc;Exec-managerial;<=50K
Male;30;White;Married-civ-spouse;Bachelors;United-States;Local-gov;Prof-specialty;>50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Craft-repair;<=50K
Male;30;White;Married-civ-spouse;Assoc-voc;United-States;Private;Exec-managerial;<=50K
Male;30;White;Divorced;11th;United-States;Private;Sales;<=50K
Male;30;White;Never-married;Some-college;United-States;Private;Craft-repair;>50K
Male;30;White;Never-married;HS-grad;United-States;Private;Adm-clerical;<=50K
Male;30;White;Married-civ-spouse;Assoc-voc;United-States;Self-emp-not-inc;Prof-specialty;>50K
Female;30;White;Divorced;Some-college;United-States;Private;Exec-managerial;<=50K
Female;30;White;Never-married;Assoc-acdm;United-States;Private;Prof-specialty;<=50K
Male;30;White;Married-civ-spouse;11th;United-States;Private;Craft-repair;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Sales;<=50K
Male;30;White;Married-civ-spouse;Bachelors;United-States;Private;Adm-clerical;>50K
Male;30;White;Married-civ-spouse;9th;United-States;Federal-gov;Tech-support;<=50K
Male;30;White;Divorced;Some-college;United-States;Private;Adm-clerical;<=50K
Female;30;White;Divorced;Some-college;United-States;Private;Adm-clerical;<=50K
Male;30;White;Never-married;Bachelors;United-States;Private;Exec-managerial;>50K
Male;30;White;Never-married;Bachelors;United-States;Private;Sales;<=50K
Male;30;Black;Never-married;Bachelors;United-States;Private;Prof-specialty;<=50K
Male;30;White;Married-civ-spouse;HS-grad;Germany;Private;Other-service;<=50K
Female;30;Black;Never-married;Some-college;United-States;Private;Sales;<=50K
Female;30;White;Never-married;Bachelors;United-States;Private;Exec-managerial;>50K
Male;30;White;Married-civ-spouse;Bachelors;United-States;Private;Prof-specialty;<=50K
Male;30;White;Married-civ-spouse;7th-8th;United-States;Local-gov;Transport-moving;<=50K
Female;30;White;Divorced;HS-grad;United-States;Private;Craft-repair;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Protective-serv;>50K
Male;30;White;Never-married;Some-college;United-States;Private;Adm-clerical;<=50K
Male;30;White;Married-civ-spouse;9th;Mexico;Private;Handlers-cleaners;<=50K
Female;30;White;Separated;HS-grad;United-States;Private;Adm-clerical;<=50K
Female;30;White;Married-civ-spouse;Bachelors;United-States;Private;Other-service;>50K
Male;30;White;Married-civ-spouse;HS-grad;Canada;Self-emp-inc;Exec-managerial;>50K
Female;30;White;Married-civ-spouse;Assoc-voc;Canada;Private;Tech-support;>50K
Male;30;White;Never-married;Bachelors;United-States;Federal-gov;Prof-specialty;>50K
