Dataset;TEXAS;Method;Identity;SuppressionLimit;1.0;FeatureType;ENSEMBLE;ClassifierType;RF;NumberOfTargets;1;TargetType;CRAFTED;NumberOfTests;25;NumberOfTrainings;10;SampleSize;1000;AversaryPupulationSize;10000;
Dataset;TEXAS;Method;Identity;SuppressionLimit;1.0;FeatureType;ENSEMBLE;ClassifierType;RF;NumberOfTargets;1;TargetType;CRAFTED;NumberOfTests;25;NumberOfTrainings;10;SampleSize;1000;AversaryPupulationSize;10000;
TestRun;TargetId;TrueLabel;PredictedLabel;PredictionProbability
6;0;1;0;0.4890212060354812
6;0;0;0;0.4890212060354812
3;0;1;0;0.5197641681103173
3;0;0;0;0.5197641681103173
4;0;1;0;0.4670391117885116
4;0;0;0;0.4670391117885116
1;0;0;0;0.5145189116514366
1;0;1;0;0.5088842981725238
5;0;1;0;0.44742365940700257
5;0;0;0;0.45538635451135623
0;0;1;0;0.423956089420669
0;0;0;0;0.423956089420669
2;0;0;0;0.5110888665762476
2;0;1;0;0.5049361049521665
7;0;0;0;0.48866341879755104
7;0;1;0;0.48065287791346284
8;0;1;0;0.49054800524778036
8;0;0;0;0.48604956839292424
12;0;0;0;0.5038363815132453
12;0;1;0;0.5038363815132453
13;0;1;0;0.5247843153606219
13;0;0;0;0.5207488952105533
9;0;0;0;0.49774068247685765
9;0;1;0;0.488510918383094
11;0;1;0;0.45498580139265293
11;0;0;0;0.4640447711183656
10;0;1;0;0.4929853956615781
10;0;0;0;0.4929853956615781
14;0;1;0;0.4974360007312563
14;0;0;0;0.49862689667288
15;0;0;0;0.49550248687159104
15;0;1;0;0.4894150615984197
17;0;0;0;0.5201570786008832
17;0;1;0;0.5146465686524412
19;0;0;0;0.4877785002323718
19;0;1;0;0.4877785002323718
16;0;0;0;0.48135271539586083
16;0;1;0;0.48231110972380314
18;0;1;0;0.5223424570109416
18;0;0;0;0.5223424570109416
20;0;1;0;0.49501471107930983
20;0;0;0;0.49501471107930983
21;0;1;0;0.46658628519791534
21;0;0;0;0.47421737400996267
22;0;0;0;0.5026023654372862
22;0;1;0;0.5026023654372862
23;0;1;0;0.5111883205510631
23;0;0;0;0.5180217162456972
24;0;0;0;0.47844597009923584
24;0;1;0;0.47844597009923584
