TestRun;TargetId;TrueLabel;PredictedLabel;PredictionProbability
5;0;1;0;0.47382554012552414
5;0;0;0;0.47382554012552414
1;0;1;0;0.5047370919888953
1;0;0;0;0.5047370919888953
0;0;0;0;0.6570795334489292
0;0;1;1;0.6306729310386819
4;0;0;0;0.5040867037095269
4;0;1;1;0.6259029972860298
3;0;0;0;0.5784803525992669
3;0;1;1;0.6072358486373894
6;0;1;1;0.6876875804131526
6;0;0;0;0.6162947274005247
2;0;1;0;0.42581282766331985
2;0;0;0;0.6234582741329349
7;0;0;0;0.5477648925727389
7;0;1;0;0.4375271868546391
9;0;0;0;0.5898551406268707
9;0;1;1;0.634757743700587
10;0;1;0;0.6611885202135407
10;0;0;0;0.6360270255924071
8;0;1;0;0.4667416969499738
8;0;0;0;0.6065839387013955
11;0;1;0;0.3416003125647627
11;0;0;0;0.6027041377934076
12;0;0;0;0.5258912014892927
12;0;1;0;0.5147664451733251
13;0;0;0;0.5837946454553005
13;0;1;0;0.4182088243523022
14;0;0;0;0.6834206383135507
14;0;1;0;0.356571699883471
16;0;0;0;0.5777917848606003
16;0;1;0;0.3714841112866322
15;0;1;1;0.6304219141679974
15;0;0;0;0.508432548931518
18;0;1;0;0.4360601788553475
18;0;0;0;0.5427149315405312
20;0;1;1;0.6420030911996583
20;0;0;0;0.5736302708070947
19;0;1;0;0.3884982911511106
19;0;0;0;0.5181106661495316
17;0;0;0;0.5777587396674321
17;0;1;1;0.6957062324860899
22;0;0;0;0.5134462789209263
22;0;1;0;0.4469208800200135
21;0;0;0;0.691926591847142
21;0;1;0;0.37309305488729994
23;0;0;0;0.5192138172354853
23;0;1;1;0.6053243072173287
24;0;1;0;0.38328677301443176
24;0;0;0;0.5825274389489733
