TestRun;TargetId;TrueLabel;PredictedLabel;PredictionProbability
2;0;1;0;0.33997441855197624
2;0;0;0;0.6145845278661654
5;0;1;1;0.7260765634215299
5;0;0;0;0.6554009736354379
6;0;0;0;0.6949265886468804
6;0;1;1;0.786770131502161
0;0;1;1;0.6791301746391806
0;0;0;0;0.7342182319889744
3;0;1;0;0.40396175284706265
3;0;0;0;0.7440432980066737
4;0;1;1;0.7133985549903534
4;0;0;0;0.6843684835529111
1;0;0;0;0.7094474749832329
1;0;1;1;0.715971738996535
12;0;0;0;0.5917854342259661
12;0;1;1;0.7273558851276513
11;0;1;1;0.6941638188725651
11;0;0;0;0.7046756496988441
9;0;0;0;0.698906016614795
9;0;1;0;0.3786716351380803
10;0;0;0;0.6633747348263339
10;0;1;1;0.7194098464216921
13;0;1;1;0.6770838042092495
13;0;0;0;0.7386542120523351
8;0;1;1;0.7818775171034393
8;0;0;0;0.7196058349661261
7;0;1;1;0.6756647434398925
7;0;0;0;0.6150879575473648
14;0;0;0;0.740424717468979
14;0;1;1;0.6727664533190051
15;0;0;0;0.4874324035686437
15;0;1;1;0.7274473582433768
18;0;1;1;0.6419225529693324
18;0;0;0;0.612726175551437
19;0;1;1;0.6999682814798708
19;0;0;0;0.8174455370510303
17;0;1;1;0.718838986129739
17;0;0;0;0.6526705456246963
20;0;0;0;0.7000459793913743
20;0;1;1;0.7727496100997557
16;0;0;0;0.7796846258016168
16;0;1;1;0.6994606222174186
22;0;0;0;0.7037383400764865
22;0;1;1;0.7087366156233694
21;0;0;0;0.6695007509883407
21;0;1;1;0.6878007490295345
24;0;1;1;0.732042174844173
24;0;0;0;0.7096225739452032
23;0;0;0;0.6647852117385509
23;0;1;1;0.636423912128166
