TestRun;TargetId;TrueLabel;PredictedLabel;PredictionProbability
2;25378;1;0;0.4965115808647689
2;28639;1;0;0.4848903223439727
2;16313;1;0;0.48351765965644244
2;42528;1;0;0.514586443816341
2;28608;0;0;0.492372267406582
2;10609;0;0;0.47341229171708993
2;35144;1;0;0.5097518601101476
2;18141;0;0;0.47059923289918587
2;18214;1;0;0.4912393600080423
2;10609;1;0;0.4875381132424597
2;11614;1;0;0.48097734057900116
2;2453;0;0;0.48832709151489956
2;4817;0;0;0.5234753460145277
2;6761;0;0;0.4776212681606387
2;2453;1;0;0.49426346135947113
2;235;0;0;0.493748005647766
2;16313;0;0;0.474057500356048
2;3976;0;0;0.47678184528641226
2;3772;0;0;0.5153971473922362
2;33121;1;0;0.5179728449773139
2;23291;1;0;0.5096338350778393
2;1015;1;0;0.47211928803857295
2;33121;0;0;0.5217376858913568
2;3976;1;0;0.4770906894902749
2;3785;0;0;0.5107232540309631
2;25378;0;0;0.4899397126332609
2;23625;0;0;0.4805029358572297
2;13702;0;0;0.49887510965491794
2;41859;1;0;0.4998831674214924
2;1162;1;0;0.5124979183113402
2;18556;0;0;0.4809680169510433
2;29119;1;0;0.480078175141448
2;41859;0;0;0.500829904908977
2;3785;1;0;0.5107232540309631
2;36875;0;0;0.5108483881007311
2;18556;1;0;0.48784888009405597
2;29119;0;0;0.4861398351975543
2;1015;0;0;0.45783634246094673
2;1529;1;0;0.5714887262451857
2;2632;1;0;0.5187476866942716
2;26269;1;0;0.5477393957521015
2;1162;0;0;0.5124979183113402
2;7405;0;0;0.4851136543422969
2;26269;0;0;0.5477393957521015
2;1529;0;0;0.5714887262451857
2;36223;0;0;0.5343088403537279
2;2632;0;0;0.5187476866942716
2;43849;0;0;0.505201403059976
2;4937;1;0;0.45572972298630254
2;23291;0;0;0.5007213862069294
2;40508;0;0;0.49960305995179327
2;3526;1;0;0.4661432627083896
2;31365;1;0;0.48639849526703594
2;5956;0;0;0.47538223671902075
2;18214;0;0;0.4819769290271035
2;29647;1;0;0.4681521706872022
2;32436;0;0;0.4820415450825339
2;28639;0;0;0.4868217042884999
2;3234;1;0;0.530329397229256
2;7750;0;0;0.5198409124315952
2;12895;0;0;0.4796581152657845
2;13102;0;0;0.4928862827570376
2;3696;1;0;0.5097622551924794
2;40508;1;0;0.4941478179071271
2;36223;1;0;0.5343088403537279
2;3526;0;0;0.4661432627083896
2;29647;0;0;0.4681521706872022
2;43849;1;0;0.5154174293973891
2;38998;0;0;0.5573220161839052
2;9717;1;0;0.528821066438985
2;38998;1;0;0.5502486743668118
2;18141;1;0;0.4728903311277333
2;9717;0;0;0.528821066438985
2;36875;1;0;0.5108483881007311
2;6761;1;0;0.4776212681606387
2;235;1;0;0.493748005647766
2;7405;1;0;0.46304289051879804
2;28608;1;0;0.4885266713570732
2;13102;1;0;0.49893094117815195
2;15679;0;0;0.505993154588258
2;39856;0;0;0.4456560707741838
2;39856;1;0;0.45337267928513614
2;3772;1;0;0.5153971473922362
2;13702;1;0;0.49664334194239335
2;32436;1;0;0.48787796821700685
2;35144;0;0;0.5030700362129678
2;3696;0;0;0.5097622551924794
2;36311;0;0;0.482031439701531
2;36311;1;0;0.482031439701531
2;31365;0;0;0.4873174581317026
2;23625;1;0;0.48459597224165
2;12895;1;0;0.46125679863386004
2;5956;1;0;0.476504522482294
2;15679;1;0;0.47847101080620275
2;7750;1;0;0.5198409124315952
2;4937;0;0;0.45572972298630254
2;3234;0;0;0.5327428029054047
2;4817;1;0;0.5192648642200663
2;42528;0;0;0.514586443816341
2;11614;0;0;0.48014663174517164
1;35144;1;0;0.48753920735039924
1;12895;0;0;0.5135574613433379
1;1162;1;0;0.4907740558498211
1;16313;1;0;0.5219402515176028
1;3772;1;0;0.5113575982272651
1;3696;1;0;0.4938467498082224
1;18556;0;0;0.5264406629430368
1;18141;1;0;0.4792272038092084
1;39856;1;0;0.5458829053007451
1;23625;1;0;0.5202018022716498
1;3976;1;0;0.48579132814115156
1;3772;0;0;0.5100747004239052
1;41859;1;0;0.5300390747330355
1;35144;0;0;0.48841746009177744
1;3526;1;0;0.4853012037041771
1;7750;0;0;0.49774649942830196
1;18214;0;0;0.5544079536766001
1;13102;1;0;0.5144049684719763
1;10609;1;0;0.47732313277774985
1;36311;0;0;0.4767776296006821
1;18214;1;0;0.5541706497874943
1;40508;1;0;0.5013479226356515
1;18141;0;0;0.48531197809734267
1;43849;1;0;0.5143289577939144
1;3785;0;0;0.5077323999228065
1;3526;0;0;0.4853012037041771
1;4817;1;0;0.5141140059482621
1;13702;1;0;0.5255323896986583
1;9717;0;0;0.5237671719411031
1;38998;0;0;0.5221317647028564
1;36311;1;0;0.4767776296006821
1;2632;1;0;0.47444317758717724
1;28608;1;0;0.47409514480385323
1;3976;0;0;0.49033575469780444
1;7405;0;0;0.4990553135334849
1;1015;1;0;0.4715019868571862
1;25378;0;0;0.496359405349126
1;16313;0;0;0.535192247418905
1;31365;0;0;0.5290228919931104
1;23625;0;0;0.5149949794638194
1;9717;1;0;0.5233863911624252
1;235;1;0;0.4502205902266137
1;32436;1;0;0.48151864145406437
1;36875;1;0;0.5038565846125809
1;3234;1;0;0.47743465523846046
1;11614;0;0;0.4931748256393941
1;28639;0;0;0.5159156316904538
1;4937;0;0;0.5134450307674548
1;12895;1;0;0.4958420900875489
1;1015;0;0;0.4715019868571862
1;3785;1;0;0.5041549637264788
1;11614;1;0;0.4950644347601253
1;40508;0;0;0.5065623805051539
1;43849;0;0;0.5070577928679882
1;7750;1;0;0.49774649942830196
1;4937;1;0;0.5078101129445368
1;29119;0;0;0.5017199352106895
1;29647;1;0;0.4679914793404393
1;2453;1;0;0.48795462675890666
1;2632;0;0;0.46955963624283076
1;31365;1;0;0.5233955692819905
1;41859;0;0;0.5336137020970949
1;33121;0;0;0.5137444859353876
1;2453;0;0;0.4865395615126112
1;26269;1;0;0.5020383685203194
1;7405;1;0;0.49070091719474823
1;29119;1;0;0.5017199352106895
1;3234;0;0;0.4699442003282607
1;15679;0;0;0.4978034389699673
1;29647;0;0;0.4536527430627025
1;39856;0;0;0.5525774592196453
1;13702;0;0;0.5255323896986583
1;1529;1;0;0.47839522131241435
1;4817;0;0;0.5049023286110788
1;3696;0;0;0.5016209916821563
1;36223;0;0;0.5087969655380676
1;6761;0;0;0.5264389271409685
1;235;0;0;0.45362759997217417
1;28639;1;0;0.5109345878559619
1;13102;0;0;0.5297741498826786
1;18556;1;0;0.5219128134451951
1;32436;0;0;0.47876706028337357
1;42528;1;0;0.5220037267171322
1;5956;0;0;0.4924161975432715
1;36875;0;0;0.49530123511960816
1;23291;1;0;0.4803041315940935
1;6761;1;0;0.5264389271409685
1;38998;1;0;0.527099160226352
1;10609;0;0;0.4802850330696248
1;1529;0;0;0.48037653586747986
1;33121;1;0;0.5162159024138654
1;23291;0;0;0.4803041315940935
1;26269;0;0;0.5002105572467023
1;28608;0;0;0.47409514480385323
1;36223;1;0;0.50546371601254
1;1162;0;0;0.4907740558498211
1;42528;0;0;0.5220037267171322
1;5956;1;0;0.48822531705838307
1;25378;1;0;0.4984125818347947
1;15679;1;0;0.4978034389699673
3;28639;1;0;0.4998821810695216
3;11614;1;0;0.5109120687345321
3;1529;1;0;0.5144703960827635
3;36875;1;0;0.5622110938595696
3;1162;0;0;0.5018688199568838
3;3976;0;0;0.5123312249050251
3;25378;0;0;0.5408045566854465
3;18214;1;0;0.5463655838753678
3;41859;0;0;0.44398928054167014
3;13102;1;0;0.49357244739569306
3;2632;0;0;0.5075753072992918
3;15679;0;0;0.5341512061472227
3;43849;0;0;0.4907176574785804
3;33121;1;0;0.48605471937977823
3;28639;0;0;0.4998821810695216
3;32436;0;0;0.514956001401783
3;13702;1;0;0.4938162506444268
3;36223;1;0;0.4529463372483966
3;42528;1;0;0.5221248694423882
3;26269;1;0;0.4690302224406145
3;18141;1;0;0.4919715886332851
3;36223;0;0;0.4599742172654162
3;18556;0;0;0.46454850929484337
3;11614;0;0;0.5103671676473175
3;2453;1;0;0.4794063720856594
3;32436;1;0;0.5018006803528704
3;1529;0;0;0.5265111551556569
3;39856;1;0;0.5130719471047811
3;3526;1;0;0.465148352287241
3;10609;1;0;0.49604811153281186
3;16313;0;0;0.4741410069968578
3;29647;1;0;0.5433192895768726
3;23625;0;0;0.5002478119753387
3;12895;0;0;0.4754533127618946
3;7750;0;0;0.5125857786865805
3;3785;1;0;0.5350669826376396
3;3772;1;0;0.5012790671260576
3;3785;0;0;0.5350669826376396
3;18141;0;0;0.48340734571275246
3;23625;1;0;0.49541401792932094
3;1015;0;0;0.5235645799711772
3;29647;0;0;0.5379952647916204
3;15679;1;0;0.5341512061472227
3;6761;0;0;0.5409727180885653
3;9717;1;0;0.4955101789626581
3;31365;0;0;0.5273241260871234
3;28608;1;0;0.4841479495507742
3;40508;1;0;0.5165407888848382
3;42528;0;0;0.5286856232559259
3;25378;1;0;0.5376248129423855
3;35144;1;0;0.5076463324388567
3;3696;1;0;0.48544663261154897
3;13102;0;0;0.5008303321280291
3;28608;0;0;0.4925879114322684
3;7405;1;0;0.49930521102900677
3;38998;1;0;0.5226975446967761
3;6761;1;0;0.5334318183188768
3;31365;1;0;0.5273241260871234
3;36311;1;0;0.5535420828738642
3;3234;1;0;0.49358716270663594
3;3696;0;0;0.5014601442065608
3;36311;0;0;0.5535420828738642
3;4937;1;0;0.48268835731675086
3;40508;0;0;0.5169527460583313
3;12895;1;0;0.46715638563445444
3;2632;1;0;0.5115375085724758
3;35144;0;0;0.5076463324388567
3;3772;0;0;0.5012790671260576
3;5956;1;0;0.5149766774539611
3;26269;0;0;0.4763024412758189
3;4937;0;0;0.48268835731675086
3;16313;1;0;0.4741410069968578
3;7405;0;0;0.5099179301875654
3;9717;0;0;0.5089739359203692
3;13702;0;0;0.497280810558358
3;43849;1;0;0.4939698791491472
3;235;1;0;0.5326671594430421
3;1162;1;0;0.4947390814891599
3;4817;1;0;0.4996752762228231
3;41859;1;0;0.4415803519181391
3;29119;1;0;0.524217245635546
3;2453;0;0;0.49655348863602283
3;38998;0;0;0.5221691637295637
3;3526;0;0;0.47377217757428414
3;23291;1;0;0.494759423524656
3;7750;1;0;0.5206027421190278
3;235;0;0;0.5289265345044363
3;18214;0;0;0.5463655838753678
