TestRun;TargetId;TrueLabel;PredictedLabel;PredictionProbability
6;0;0;0;0.5168669310644368
6;0;1;0;0.5168669310644368
5;0;0;0;0.4873678770408893
5;0;1;0;0.4873678770408893
1;0;0;0;0.5462625595579371
1;0;1;0;0.5425143143899033
2;0;0;0;0.5163981539530613
2;0;1;0;0.5211224202325337
4;0;0;0;0.4729392578469562
4;0;1;0;0.46739275518034873
3;0;0;0;0.5288960913978419
3;0;1;0;0.5288960913978419
0;0;1;0;0.4913388895306512
0;0;0;0;0.47620458263762644
9;0;0;0;0.5095706998198316
9;0;1;0;0.5095706998198316
11;0;0;0;0.5141259979741252
11;0;1;0;0.5064723522177477
10;0;1;0;0.5055728747003658
10;0;0;0;0.5055728747003658
8;0;1;0;0.4991284923823015
8;0;0;0;0.4991284923823015
7;0;0;0;0.4911238369745039
7;0;1;0;0.4887237280572475
12;0;1;0;0.4790271830798765
12;0;0;0;0.48272593090279603
13;0;1;0;0.505382478029044
13;0;0;0;0.5146994446749723
14;0;0;0;0.4849497930717051
14;0;1;0;0.4849497930717051
16;0;1;0;0.5696457858104361
16;0;0;0;0.5617416754216096
19;0;1;0;0.5076470381977587
19;0;0;0;0.5076470381977587
17;0;1;0;0.5384469410632157
17;0;0;0;0.5419234097421173
18;0;1;0;0.4741307884384502
18;0;0;0;0.4655871328348222
15;0;0;0;0.5520678007927327
15;0;1;0;0.5520678007927327
20;0;0;0;0.49115047503407006
20;0;1;0;0.50701204271534
21;0;1;0;0.4674525814432431
21;0;0;0;0.47063142724544144
24;0;1;0;0.4806935930454082
24;0;0;0;0.4771141129280591
22;0;0;0;0.5419257002003712
22;0;1;0;0.5436306823887532
23;0;0;0;0.49598390755195576
23;0;1;0;0.5047740993919029
