TestRun;TargetId;TrueLabel;PredictedLabel;PredictionProbability
3;0;1;1;0.7574886844402947
3;0;0;0;0.6432567438319237
2;0;1;1;0.6535118621990892
2;0;0;0;0.6784011637700849
4;0;0;0;0.6110800680605877
4;0;1;1;0.6784356843506348
0;0;0;0;0.7352341322640153
0;0;1;0;0.4077147082503323
1;0;0;0;0.7172226943637497
1;0;1;1;0.758930463418892
6;0;1;0;0.46312995887538805
6;0;0;0;0.697605310132059
5;0;1;1;0.7431311655037068
5;0;0;0;0.6970117419022204
8;0;1;1;0.716009652540129
8;0;0;0;0.5835221029336489
12;0;1;0;0.36917035601450965
12;0;0;0;0.6393331404280619
9;0;1;1;0.6623934031346981
9;0;0;0;0.5749472653634765
7;0;1;1;0.7371702993264098
7;0;0;0;0.6885152519981936
11;0;0;0;0.6502421106406273
11;0;1;1;0.7151566789559126
10;0;0;0;0.7338599476388186
10;0;1;1;0.8037237826918483
13;0;1;1;0.7022628152859882
13;0;0;0;0.7025261422733347
14;0;1;1;0.7205423643931758
14;0;0;0;0.6282557642956741
19;0;0;0;0.7340383455104269
19;0;1;1;0.7092846967004846
16;0;0;0;0.7109268163144606
16;0;1;1;0.6944394675926623
17;0;1;1;0.7084132841330835
17;0;0;0;0.6525823900169054
15;0;1;1;0.6264138143463093
15;0;0;0;0.6653256091040279
18;0;1;1;0.7800844587151821
18;0;0;0;0.7017236529680134
20;0;0;0;0.7666179447108503
20;0;1;1;0.6092213755764662
21;0;1;1;0.7033812109155955
21;0;0;0;0.8112355191880152
24;0;0;0;0.7068240365799819
24;0;1;1;0.6452222025743283
23;0;1;1;0.7006860262716759
23;0;0;0;0.6560476904649629
22;0;0;0;0.7933979485492663
22;0;1;1;0.776952822091302
