TestRun;TargetId;TrueLabel;PredictedLabel;PredictionProbability
5;0;0;0;0.862250490108044
5;0;1;1;0.8909948781551557
6;0;0;0;0.7853842010070285
6;0;1;1;0.8131406069031909
4;0;1;1;0.8347158709071504
4;0;0;0;0.8310659107577718
3;0;1;1;0.7788590737291757
3;0;0;0;0.7854137374765554
2;0;0;0;0.7703216986705846
2;0;1;1;0.8064829553096423
1;0;0;0;0.7160693523760371
1;0;1;1;0.8682829571575255
0;0;1;1;0.8673627695226919
0;0;0;0;0.7921099293938685
7;0;0;0;0.7937315864823852
7;0;1;1;0.8619953640875542
10;0;0;0;0.8329243582498371
10;0;1;1;0.8372461258979531
9;0;0;0;0.7606798311727968
9;0;1;1;0.7799510873109604
8;0;0;0;0.7810060816721798
8;0;1;1;0.8698847134741644
13;0;1;1;0.8175962210056162
13;0;0;0;0.719046936606124
11;0;1;1;0.8186873959428534
11;0;0;0;0.7823323437331754
12;0;1;1;0.8685445378564735
12;0;0;0;0.7292707401946117
14;0;0;0;0.8697424919045372
14;0;1;1;0.8828533036126052
16;0;0;0;0.8702690353057441
16;0;1;1;0.8573619900908259
15;0;1;1;0.8173073621067709
15;0;0;0;0.7146681790910611
17;0;1;1;0.7299175614798663
17;0;0;0;0.8112220490214682
19;0;0;0;0.7043445749054852
19;0;1;1;0.830987838629373
18;0;0;0;0.7742316414013245
18;0;1;1;0.8587486195186227
20;0;0;0;0.7149494057509105
20;0;1;1;0.8572644405783159
23;0;0;0;0.7856122542642124
23;0;1;1;0.8489355701803118
22;0;1;1;0.7999949914605169
22;0;0;0;0.7663088752917774
24;0;1;1;0.7936973264763985
24;0;0;0;0.7112590075396169
21;0;1;1;0.8493422208617716
21;0;0;0;0.756183889583239
