TestRun;TargetId;TrueLabel;PredictedLabel;PredictionProbability
5;0;1;0;0.502947393932198
5;0;0;0;0.502947393932198
1;0;0;0;0.5160282012122328
1;0;1;0;0.5160282012122328
4;0;0;0;0.47971127946223513
4;0;1;0;0.4857699350244841
3;0;0;0;0.4860678323120677
3;0;1;0;0.4860678323120677
0;0;0;0;0.5379825942495207
0;0;1;0;0.5348217899536925
2;0;0;0;0.4733715951752711
2;0;1;0;0.4797597986280339
6;0;0;0;0.4860462820860198
6;0;1;0;0.48376039816416594
13;0;0;0;0.5107212768611685
13;0;1;0;0.5036778554903849
11;0;1;0;0.5136983615359585
11;0;0;0;0.5136983615359585
10;0;0;0;0.5049937811155241
10;0;1;0;0.5049937811155241
8;0;1;0;0.5293134818664796
8;0;0;0;0.5360821058085901
9;0;1;0;0.492637749771438
9;0;0;0;0.492637749771438
7;0;0;0;0.4890268711117242
7;0;1;0;0.4979500309314803
12;0;0;0;0.5439498298527868
12;0;1;0;0.5380117062054661
14;0;0;0;0.5351004903995835
14;0;1;0;0.5351004903995835
18;0;0;0;0.4823431644519553
18;0;1;0;0.4823431644519553
16;0;1;0;0.5034807650091292
16;0;0;0;0.5034807650091292
17;0;0;0;0.5298333505414534
17;0;1;0;0.532583601004909
20;0;0;0;0.5102974847093333
20;0;1;0;0.5046563913816294
19;0;0;0;0.5374281947626693
19;0;1;0;0.5374281947626693
15;0;0;0;0.5442785107068392
15;0;1;0;0.5448662749215768
21;0;0;0;0.4834972513090875
21;0;1;0;0.4829815358168198
22;0;0;0;0.5336905847834029
22;0;1;0;0.5289970333045338
23;0;1;0;0.43404518086623256
23;0;0;0;0.43404518086623256
24;0;1;0;0.48820505569879535
24;0;0;0;0.4942935765904289
