TestRun;TargetId;TrueLabel;PredictedLabel;PredictionProbability
2;5730;0;0;0.4877316989638945
2;40304;0;0;0.5046574123228584
2;29977;1;0;0.4873247297193951
2;9997;0;0;0.5695050060129891
2;35406;0;0;0.4332539530444012
2;40933;1;0;0.49915951415572907
2;40576;1;0;0.4806227758402057
2;23554;0;0;0.4450646599052353
2;41834;1;0;0.4848277785625709
2;41834;0;0;0.4783572575656111
2;29977;0;0;0.5070039415317661
2;15814;1;0;0.44620947261299987
2;33715;0;0;0.49246092763661525
2;35988;1;0;0.46984985193025663
2;37540;1;1;0.5549073703490116
2;43640;1;0;0.5178973275903084
2;35406;1;0;0.4332539530444012
2;5730;1;0;0.4877316989638945
2;35018;0;0;0.5177432470292522
2;23554;1;0;0.43219083669592556
2;22423;0;0;0.48227594985389893
2;31871;1;0;0.48661265220384864
2;49561;0;0;0.5420152431137607
2;40576;0;0;0.4806227758402057
2;23841;1;0;0.4926927535337825
2;10462;1;0;0.47223635605866443
2;36739;0;0;0.49145619975172294
2;28702;0;0;0.543264195627193
2;41805;0;0;0.5185720889314802
2;44733;0;0;0.523410206775314
2;31500;0;0;0.5815713277454347
2;32043;0;0;0.46356528725813684
2;41805;1;0;0.5185720889314802
2;42302;1;0;0.565631250282287
2;15814;0;0;0.5099986626367868
2;4130;0;0;0.4881259877868511
2;16743;0;0;0.48899999456261056
2;37540;0;1;0.5503056369170697
2;17395;0;0;0.4844560482420028
2;19509;0;0;0.508103166503845
2;21013;1;0;0.4989234187359875
2;23841;0;0;0.49541775888413064
2;19630;0;0;0.4760613431653624
2;13372;0;0;0.5435943324825783
2;44733;1;0;0.523410206775314
2;22157;0;0;0.5376323831764402
2;44429;1;0;0.5270324992857341
2;43640;0;0;0.5132951215005609
2;4130;1;0;0.4881259877868511
2;4855;0;0;0.5128276661429614
2;17542;1;0;0.47300244394283253
2;35988;0;0;0.47148682817017
2;19599;0;0;0.5049848456733208
2;17542;0;0;0.47300244394283253
2;40248;1;0;0.497457899783781
2;49561;1;0;0.5374407641959493
2;35018;1;0;0.5177432470292522
2;32043;1;0;0.456698963118298
2;13372;1;0;0.5435943324825783
2;42302;0;0;0.5783475800993161
2;40304;1;0;0.5116728175773094
2;9997;1;0;0.44856552248048637
2;44429;0;0;0.541496395892483
2;19599;1;0;0.5049848456733208
2;46998;1;0;0.4522926130651153
2;33715;1;0;0.4821744466023616
2;14817;1;0;0.5065175327596578
2;4436;0;0;0.5457541870031807
2;12441;0;0;0.5371607777203257
2;17395;1;0;0.4779178957603664
2;22423;1;0;0.4783995589509093
2;16743;1;0;0.4828838919980801
2;40933;0;0;0.5042455222109598
2;21013;0;0;0.5157471647611671
2;40248;0;0;0.497457899783781
2;15147;1;0;0.4892765643410315
2;49394;1;0;0.5229859062646782
2;783;1;0;0.5166603276931557
2;46998;0;0;0.4522926130651153
2;44331;0;0;0.5099088142063845
2;14817;0;0;0.5160870921531227
2;36739;1;0;0.49145619975172294
2;4436;1;0;0.5457541870031807
2;28702;1;0;0.5347671295131156
2;12441;1;0;0.5310282842071831
2;48422;0;0;0.47670278331332927
2;4855;1;0;0.5034891277916466
2;31871;0;0;0.48661265220384864
2;10462;0;0;0.47223635605866443
2;19509;1;0;0.49845511125577097
2;44331;1;0;0.5099088142063845
2;19630;1;0;0.4760613431653624
2;29426;0;0;0.5393158458025419
2;22157;1;0;0.5376323831764402
2;15147;0;0;0.4892765643410315
2;31500;1;0;0.5785297572726942
2;49394;0;0;0.5280481474368667
2;48422;1;0;0.47194956088724827
2;29426;1;0;0.5175026379422835
2;783;0;0;0.5166603276931557
4;22423;0;0;0.48866861203516804
4;4130;0;0;0.5208435273735144
4;15147;1;0;0.49502323402058046
4;21013;0;0;0.5179041863081071
4;9997;0;0;0.5660358566568703
4;44733;0;1;0.5617210659079209
4;19509;1;0;0.540595637168969
4;40576;0;0;0.5083048911650783
4;35018;1;0;0.5658870355397805
4;23841;1;0;0.5335187088621389
4;49394;1;0;0.4766498730202753
4;17395;1;0;0.45263477953575115
4;13372;1;0;0.4381503032569664
4;35988;1;0;0.5091698424009593
4;40576;1;0;0.5007581814874507
4;10462;0;0;0.5033943916110623
4;46998;0;0;0.5440650502512521
4;31871;1;1;0.5474177923361113
4;32043;1;0;0.5606392210784141
4;43640;1;0;0.5526800678551238
4;49394;0;0;0.4766498730202753
4;43640;0;0;0.562769222271541
4;49561;1;0;0.5320932485547745
4;44331;0;0;0.5186452803917031
4;36739;1;0;0.4843453286601319
4;49561;0;0;0.5320932485547745
4;44331;1;0;0.5186452803917031
4;33715;0;0;0.5869200008141835
4;44429;0;0;0.5291440290485041
4;15814;1;0;0.46902497848036867
4;5730;1;0;0.5149541970711988
4;35988;0;0;0.5020856570777523
4;4855;1;0;0.48284238932760504
4;16743;0;0;0.5215507335627747
4;19599;0;0;0.48712924234585947
4;28702;1;1;0.5692690269676712
4;44429;1;0;0.5200561952516075
4;10462;1;0;0.4964185178400472
4;19630;1;0;0.5092524751405407
4;5730;0;0;0.5149541970711988
4;4130;1;0;0.5208435273735144
4;4436;1;0;0.47789699114912976
4;783;1;0;0.44695366857233476
4;21013;1;0;0.5179041863081071
4;19599;1;0;0.47894484174899354
4;31871;0;1;0.5474177923361113
4;23841;0;0;0.5335187088621389
4;40933;1;0;0.5736486332392069
4;16743;1;0;0.5132745090753158
4;48422;0;0;0.49798262466496507
4;17395;0;0;0.4702894000031265
4;35406;0;0;0.5602065871945133
4;40248;0;0;0.5045409954638495
4;44733;1;0;0.4453926158351782
4;23554;0;0;0.42526485910488293
4;22157;1;1;0.5436146925350606
4;13372;0;0;0.4536261294460569
4;41805;1;0;0.5348144624319517
4;4436;0;0;0.4855696551428401
4;41834;1;0;0.5257902665423015
4;48422;1;0;0.49439233477035155
4;36739;0;0;0.4828897684986719
4;9997;1;0;0.4631954895145569
4;29426;1;0;0.5015272487981967
4;33715;1;0;0.5768975708352985
4;15147;0;0;0.5046181671373289
4;37540;1;0;0.5762293960984614
4;40304;0;0;0.46043642829653636
4;23554;1;0;0.42526485910488293
4;22157;0;1;0.5436146925350606
4;14817;0;0;0.5188312965551155
4;17542;0;0;0.4870583971969406
4;29977;1;0;0.47288540729060896
4;41805;0;0;0.5348144624319517
4;22423;1;0;0.47882116335011005
4;42302;0;0;0.48633668389804635
4;40933;0;0;0.5701918664864312
4;29426;0;0;0.5152124764091485
4;29977;0;0;0.47288540729060896
4;46998;1;0;0.5440650502512521
4;37540;0;0;0.6624054130103874
4;14817;1;0;0.5121936300307817
4;40248;1;0;0.49615929597605113
4;12441;1;0;0.4914511320164217
4;4855;0;0;0.48284238932760504
4;40304;1;0;0.46043642829653636
4;31500;1;0;0.4623135498880566
4;783;0;0;0.44695366857233476
4;17542;1;0;0.4870583971969406
4;31500;0;0;0.4637882903713744
4;12441;0;0;0.4914511320164217
4;35406;1;0;0.5564057878593538
4;19630;0;0;0.5151081055404071
4;42302;1;0;0.4648221361837814
4;41834;0;0;0.5257902665423015
4;28702;0;1;0.5666337832981586
4;35018;0;0;0.5658870355397805
4;19509;0;0;0.540595637168969
4;32043;0;0;0.5606392210784141
4;15814;0;0;0.5707698503984396
6;36739;0;0;0.5189000416996666
6;22157;1;0;0.504694129035027
6;41805;1;0;0.49155345863141675
6;40933;0;0;0.5472388543352801
6;40304;1;0;0.453185288420415
6;19630;1;0;0.4951084456953494
6;28702;1;0;0.5252351871472472
6;42302;1;0;0.5061452564696113
6;33715;0;0;0.5096713837822204
6;19630;0;0;0.4951084456953494
6;22423;1;0;0.457393107955336
6;40933;1;0;0.5472388543352801
6;10462;1;0;0.47854188134929454
6;783;1;0;0.4615023488945536
6;21013;1;0;0.48176334012477406
6;40248;1;0;0.4970468499749631
6;13372;0;0;0.49281419724117875
6;14817;1;0;0.533325891584308
6;19509;1;0;0.479981669425043
6;13372;1;0;0.49200326672470807
6;43640;0;0;0.5239256467468401
6;49561;0;0;0.49375623991538137
6;41805;0;0;0.49155345863141675
6;4436;1;0;0.5499367359922152
6;21013;0;0;0.49077621663570176
6;49394;1;0;0.5344179302894042
6;35988;1;0;0.4675230111973599
6;31871;1;0;0.47810712478576434
6;37540;0;0;0.5792061800395278
6;4130;1;0;0.49404074173789697
6;49561;1;0;0.49375623991538137
6;783;0;0;0.4780812842106172
6;15147;1;0;0.48322594270824737
6;35018;1;0;0.4838312745531111
6;19509;0;0;0.4742311104224812
