sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
Male;*;White;Never-married;Bachelors;United-States;State-gov;Adm-clerical;<=50K
Male;50;White;Married-civ-spouse;Bachelors;United-States;*;Exec-managerial;<=50K
Male;38;White;*;HS-grad;United-States;Private;*;<=50K
Male;*;Black;Married-civ-spouse;11th;United-States;Private;Handlers-cleaners;<=50K
Female;*;Black;*;*;*;*;Prof-specialty;<=50K
Female;*;White;Married-civ-spouse;Masters;United-States;Private;Exec-managerial;<=50K
Female;*;Black;*;9th;*;Private;*;<=50K
Male;52;White;Married-civ-spouse;*;United-States;Self-emp-not-inc;Exec-managerial;>50K
Female;*;White;Never-married;Masters;United-States;Private;Prof-specialty;>50K
Male;42;White;Married-civ-spouse;Bachelors;United-States;Private;Exec-managerial;>50K
Male;37;Black;Married-civ-spouse;Some-college;United-States;Private;Exec-managerial;>50K
Male;*;Asian-Pac-Islander;*;Bachelors;*;*;Prof-specialty;>50K
Female;23;White;Never-married;Bachelors;United-States;Private;Adm-clerical;<=50K
Male;*;Black;Never-married;Assoc-acdm;United-States;*;Sales;<=50K
Male;*;Amer-Indian-Eskimo;Married-civ-spouse;7th-8th;Mexico;Private;*;<=50K
Male;*;White;Never-married;HS-grad;United-States;Self-emp-not-inc;Farming-fishing;<=50K
Male;32;White;Never-married;HS-grad;United-States;Private;Machine-op-inspct;<=50K
Male;*;White;Married-civ-spouse;11th;United-States;Private;Sales;<=50K
Female;*;White;*;Masters;United-States;*;Exec-managerial;>50K
Male;40;White;Married-civ-spouse;Doctorate;United-States;Private;Prof-specialty;>50K
Female;*;Black;Separated;HS-grad;United-States;Private;Other-service;<=50K
Male;*;Black;Married-civ-spouse;*;United-States;Federal-gov;*;<=50K
Male;*;White;Married-civ-spouse;11th;United-States;Private;Transport-moving;<=50K
Female;*;White;*;HS-grad;United-States;Private;Tech-support;<=50K
Male;*;White;*;*;United-States;Local-gov;Tech-support;>50K
Male;19;White;Never-married;HS-grad;United-States;Private;Craft-repair;<=50K
Male;39;White;Divorced;HS-grad;United-States;Private;*;<=50K
Male;49;White;Married-civ-spouse;HS-grad;United-States;Private;Craft-repair;<=50K
Male;*;White;Never-married;Assoc-acdm;United-States;Local-gov;*;<=50K
Male;20;Black;Never-married;Some-college;United-States;Private;Sales;<=50K
Male;45;White;Divorced;Bachelors;United-States;Private;*;<=50K
Male;*;White;Married-civ-spouse;Some-college;United-States;Federal-gov;Adm-clerical;<=50K
Male;*;Black;Married-civ-spouse;Some-college;United-States;State-gov;Other-service;<=50K
Male;*;White;Never-married;*;Puerto-Rico;Private;*;<=50K
Male;21;White;Never-married;Some-college;United-States;Private;*;<=50K
Female;*;White;*;HS-grad;United-States;*;Adm-clerical;<=50K
Male;*;White;Married-civ-spouse;*;United-States;Self-emp-not-inc;Prof-specialty;<=50K
Male;31;White;Married-civ-spouse;*;United-States;Private;*;<=50K
Male;*;White;Married-civ-spouse;Bachelors;United-States;Self-emp-not-inc;Prof-specialty;<=50K
Male;*;White;Married-civ-spouse;Bachelors;United-States;Private;Tech-support;<=50K
Female;*;White;Separated;HS-grad;United-States;Private;Adm-clerical;<=50K
Male;25;White;Never-married;HS-grad;United-States;Private;Handlers-cleaners;<=50K
Male;*;Black;Married-civ-spouse;Bachelors;United-States;Federal-gov;Prof-specialty;>50K
Male;53;White;Married-civ-spouse;HS-grad;United-States;Private;Machine-op-inspct;<=50K
Female;*;White;Divorced;Masters;United-States;Private;Exec-managerial;<=50K
Male;*;White;Married-civ-spouse;Assoc-voc;United-States;State-gov;*;<=50K
Male;29;White;Never-married;Assoc-voc;United-States;Private;*;<=50K
Female;*;Other;Married-civ-spouse;Some-college;United-States;Private;Exec-managerial;<=50K
Female;*;White;*;*;*;Private;*;>50K
Male;*;White;Divorced;Bachelors;United-States;Federal-gov;Exec-managerial;>50K
Male;*;White;Divorced;HS-grad;United-States;Self-emp-inc;Exec-managerial;<=50K
Male;*;White;Married-civ-spouse;Some-college;United-States;Private;Tech-support;>50K
Male;*;White;Married-civ-spouse;5th-6th;Mexico;Private;Machine-op-inspct;<=50K
Male;*;White;Married-civ-spouse;*;*;Private;Other-service;<=50K
Male;41;White;Married-civ-spouse;HS-grad;United-States;Private;Adm-clerical;<=50K
Male;30;White;Married-civ-spouse;HS-grad;United-States;Private;Machine-op-inspct;<=50K
Male;30;White;Married-civ-spouse;Bachelors;United-States;Private;Sales;<=50K
Male;48;White;Married-civ-spouse;HS-grad;United-States;Private;Transport-moving;<=50K
Male;*;White;Married-civ-spouse;Doctorate;United-States;Private;Prof-specialty;>50K
Male;29;White;Divorced;Some-college;United-States;Private;*;<=50K
Male;36;White;Married-civ-spouse;HS-grad;United-States;Private;Craft-repair;<=50K
Female;*;White;Divorced;Some-college;United-States;Private;Adm-clerical;<=50K
Female;*;White;Married-civ-spouse;HS-grad;United-States;Private;Adm-clerical;>50K
Male;49;White;Married-civ-spouse;Some-college;United-States;Self-emp-inc;*;>50K
Male;19;White;Never-married;Some-college;United-States;Private;*;<=50K
Female;*;Black;*;*;United-States;Private;Sales;<=50K
Male;*;White;Married-civ-spouse;Bachelors;United-States;Self-emp-not-inc;Sales;>50K
Male;23;White;Never-married;Some-college;United-States;Private;Machine-op-inspct;<=50K
Male;*;White;Married-civ-spouse;Some-college;United-States;Private;Prof-specialty;<=50K
Male;*;White;Never-married;HS-grad;Mexico;Private;*;<=50K
Male;*;White;Married-civ-spouse;Assoc-acdm;United-States;Private;Adm-clerical;<=50K
Female;18;White;Never-married;11th;United-States;Private;Other-service;<=50K
Male;*;White;*;7th-8th;United-States;*;*;<=50K
Male;18;White;Never-married;HS-grad;United-States;Private;Sales;<=50K
Male;*;White;Married-civ-spouse;Bachelors;*;Private;Other-service;<=50K
Female;46;White;Married-civ-spouse;HS-grad;United-States;Private;*;<=50K
